""	LILRB1	FPR1	SIGLEC10	APLP2	C5AR1	P2RY12	ADCY7	CANX	LILRA4	HAVCR2	TLR2	RXRA	CXCR4	TREM2	AXL	TMIGD3	CD4	ADORA3	GPNMB	LRP1	TLR7	LPP	SORL1	CD9	TLR4	TSPAN14	ENG	PILRA	ITGAM	LAIR1	ITGAV	SIRPA	IL6R	CD81	ITGB1	KCNQ3	CD33	ADRB2	TLR1	INSR	PLXDC2	PTPRA	CD47	SORT1	C3AR1	ITGB2	ITGAX	TNFRSF1B	ABCA1	PLAUR	C1QBP	TNFRSF1A	SMAP1	CD46
LAIR1	0.799214896702487	0.625606485663701	0.783338245323421	0.939154332363082	0.544705054814155	0.659029359588995	0.865463593666368	0.779208384709794	0.711411059281796	0.847505435454654	0.73923002849868	0.762847645170743	0.605364376432583	0.679528403698007	0.947039410502522	0.774279370210855	0.835578089890715	0.792719431470832	0.736501294795389	0.819685364393527	0.822655798836774	0.831673964017987	0.877778420154426	0.645235887023577	0.718658508708448	0.859663452693255	0.70221028411251	0.781218195656148	0.704805371552112	1	0.726535777400918	0.571965398113459	0.857379195021403	0.851280207257512	0.908170480504862	0.631397859313067	0.764697481043556	0.614406424240735	0.432490148722962	0.813275484386959	0.874196555665952	0.768495127509783	0.758740105256288	0.740859959371462	0.775342907476766	0.811844700078374	0.7472729406135	0.804637992745949	0.676277522147988	0.599408702897224	0.634812394720831	0.625555124800514	0.650658076550379	0.531561099213918
ITGAV	0.438735012305645	0.695845880391766	0.402224539096801	0.757580404315111	0.766671225341933	0.250698761656526	0.58283696956141	0.431051877890889	0.335456348483602	0.595583160225027	0.387444326397301	0.563766793685625	0.7884521683371	0.329873076023428	0.714330704180721	0.591369174942303	0.650484882222041	0.765487381301092	0.582387393543156	0.829123320762927	0.612805271964473	0.555278005014396	0.517500676649688	0.500628983368577	0.772854241144061	0.686909856941412	0.445758313258821	0.422831455215401	0.672497160247153	0.726535777400918	1	0.0952993679061682	0.651381905479676	0.604642294308715	0.587513662352538	0.217361686151948	0.572493879673719	0.63977058288334	0.0686948271108734	0.644917973557585	0.564865506214515	0.610126814680726	0.629302869740698	0.369580014788374	0.596364568928899	0.475483017743931	0.886347767683979	0.835235210654851	0.774751507532532	0.915975296435823	0.244497297627038	0.253611902785466	0.697581637309334	0.158971786678255
SIRPA	0.851404693279073	0.0359279913862959	0.581777057619331	0.454772549598144	-0.212874503717276	0.750458798222981	0.439075784975272	0.77005886996812	0.674442821298922	0.457741863017068	0.72239226667687	0.245536287437978	-0.062731002859876	0.591793001605718	0.545905520870178	0.251061561079159	0.48448393381784	0.302631647937409	0.573736319371141	0.171695939167037	0.373737712843812	0.489041886439808	0.721956775835131	0.286178187613655	0.0774375597703487	0.513382408388904	0.458347211931333	0.493895878078916	0.19901875954221	0.571965398113459	0.0952993679061682	1	0.556440648439788	0.502184128674853	0.557935550806868	0.629836048788512	0.590341347899751	0.215295350490533	0.602980221714861	0.558909201330581	0.566405688526844	0.563735572074226	0.418407808637378	0.665267189090605	0.684268636410439	0.629417720956027	0.0792546479889011	0.303392904934189	0.128961784840107	-0.143585355756757	0.600412939624603	0.460803712842771	0.094208203431248	0.769351108796288
IL6R	0.733807045528177	0.663938653252262	0.707870524479191	0.848221470536966	0.455910126877669	0.620220758347438	0.79445027647888	0.814993020165533	0.698488565280373	0.841501631204037	0.788126067687857	0.758680783515202	0.606027613855777	0.657509021048137	0.884791047610087	0.625848022419841	0.829566504802519	0.860418032841249	0.836300425697546	0.744286027445393	0.847690433151377	0.754242613123902	0.847625361105032	0.63538482944115	0.696623253790052	0.87080788407374	0.807271152664144	0.715378968374741	0.725160865782069	0.857379195021403	0.651381905479676	0.556440648439788	1	0.838285950498536	0.823698866799595	0.683840606171726	0.75043418538669	0.542600568774296	0.364993405839267	0.797328203605778	0.843665221342135	0.82641190217861	0.723136652100466	0.796675328734435	0.731683927253951	0.839946208375321	0.725702932768208	0.798305262064357	0.638997638994982	0.562706099690059	0.545228332956553	0.597081610529224	0.672606886678548	0.525846612764992
CD81	0.694824117381662	0.625522425785313	0.657356005692416	0.918002790158005	0.511989969460256	0.633284058148706	0.782238777516904	0.835856673240372	0.871597613158986	0.875412747690171	0.750384965774181	0.801039467537157	0.637223526495993	0.834313177710725	0.901557409043692	0.847968115355851	0.943646669576838	0.846047628532788	0.871823027240098	0.863691046558763	0.795255632581309	0.774147371465217	0.93055428896654	0.832733372937222	0.729426907001451	0.76777739362326	0.835201745119147	0.888672492002014	0.821299558216908	0.851280207257512	0.604642294308715	0.502184128674853	0.838285950498536	1	0.817176986890783	0.681229802328895	0.700487772298569	0.48924376684559	0.303219068145669	0.622680249464869	0.901187504801706	0.606808515828087	0.615921083821649	0.787073619845116	0.564475233382956	0.920341688420672	0.737794420386785	0.84584399985111	0.738394493012588	0.564751777065346	0.758337437659273	0.703773055462911	0.684670809355588	0.396880791570995
ITGB1	0.745103721953064	0.627622219945663	0.795899089118589	0.897488426762428	0.484650857175976	0.589746003118473	0.946208559460412	0.703346614759964	0.754579892426268	0.89752093926273	0.720622181470186	0.767506319683824	0.558693718909761	0.637054747998687	0.875244896506468	0.734221356862819	0.77288584092347	0.803129711305841	0.687569621309245	0.730178266310699	0.886019814947715	0.896816970846279	0.853652166487919	0.624509787149261	0.711010149797608	0.876502394221965	0.763720223390433	0.852506218614893	0.544970611969013	0.908170480504862	0.587513662352538	0.557935550806868	0.823698866799595	0.817176986890783	1	0.589090327571242	0.61669068663964	0.601019940359941	0.351982650463229	0.710727726126963	0.897475311428905	0.726278154186311	0.797585037714566	0.80334424146668	0.719142424803078	0.796049909084063	0.684463151318133	0.746912907587185	0.587138021888995	0.520477360535801	0.652561336400968	0.740091375437424	0.747041747363629	0.501357135594094
KCNQ3	0.630089944630463	0.244561158731936	0.664203835646448	0.618567590438451	0.0612921124312273	0.743685357481887	0.495187625164074	0.719612016593087	0.670296927595576	0.602685196915984	0.571949896973093	0.455610152620994	0.1861388614706	0.700183078176477	0.708832669603316	0.555026690995853	0.745951852410347	0.5451612988364	0.677856940625998	0.448498726320985	0.528561504723918	0.535886202001475	0.758200418318106	0.50356667011785	0.413821040794167	0.681761343086575	0.488945530936928	0.675578816506782	0.558493126636384	0.631397859313067	0.217361686151948	0.629836048788512	0.683840606171726	0.681229802328895	0.589090327571242	1	0.620106529112349	0.492622712626557	0.62584692482167	0.626231431758295	0.719493477624314	0.628722292862707	0.455823170536499	0.770018887947756	0.653719689202465	0.696832674657973	0.303276315025324	0.496585836057186	0.259031347588356	0.0809156435517847	0.501088013683772	0.585400539347092	0.306105663311614	0.580500109443162
CD33	0.680652163070999	0.308844109579604	0.576696851841033	0.737376808340196	0.295054325712412	0.68533718779204	0.504219436914868	0.782417317828045	0.570815141411948	0.571857920987617	0.71443857043573	0.508981943530117	0.315360047517804	0.62800585944957	0.756520889910744	0.481089462049688	0.670008197040358	0.597883216476336	0.732068541236193	0.554408185932733	0.582884003416629	0.58601235450639	0.747376220744229	0.52222628639936	0.429697569226487	0.727457792236004	0.563175365245519	0.504308241720292	0.659348930791484	0.764697481043556	0.572493879673719	0.590341347899751	0.75043418538669	0.700487772298569	0.61669068663964	0.620106529112349	1	0.470852448828032	0.455438943487966	0.705353539931096	0.637192860702013	0.632845966089119	0.487235945138324	0.651985436755319	0.760629737026652	0.733438996708011	0.499686120986297	0.55212596331903	0.417923859027731	0.444997898466105	0.530289959120289	0.227458470579367	0.318360766440161	0.615574344922095
ADRB2	0.47494114694646	0.491501210778826	0.528746438712703	0.636653732003902	0.537749421788895	0.230938350801518	0.592157839155729	0.416442545331595	0.311218881551836	0.653280926774579	0.402246823319644	0.483862983470038	0.556920745047687	0.276274101229608	0.665719309892615	0.577866467178186	0.610770912665062	0.613899349199946	0.438517550456499	0.591151788212646	0.499781230762035	0.64585020805258	0.549994627730193	0.320846420450782	0.731482054761328	0.786709666380978	0.330067497423595	0.490530664593248	0.460038510711669	0.614406424240735	0.63977058288334	0.215295350490533	0.542600568774296	0.48924376684559	0.601019940359941	0.492622712626557	0.470852448828032	1	0.380728081443097	0.618948568833437	0.687206198714955	0.56207291181635	0.715167337614714	0.559418461918241	0.705703289277696	0.397243475733702	0.652427050122425	0.681290423254237	0.540737096564975	0.520027497320277	0.251714082699148	0.405284559674421	0.585138623378275	0.360259835440893
TLR1	0.601662395480911	-0.218638972468513	0.422531194560686	0.306568023256176	-0.31854605256696	0.717851459437962	0.255949924096693	0.540621979471992	0.370052332635769	0.299518639015613	0.351852290760231	0.093117272369767	-0.22817269897317	0.574912610407472	0.398220369441323	0.236649435871811	0.407060799627435	0.205248876156532	0.442022235583617	0.105684055431018	0.253776391993698	0.377492039429339	0.507616153169861	0.297919320310907	-0.0306887778682722	0.44094405033793	0.319559880699656	0.271259393567683	0.152078661155237	0.432490148722962	0.0686948271108734	0.602980221714861	0.364993405839267	0.303219068145669	0.351982650463229	0.62584692482167	0.455438943487966	0.380728081443097	1	0.332323702624602	0.449789116922461	0.455675302657717	0.256293258246142	0.423061333070246	0.585704010690925	0.427564485722169	-0.00371411637315938	0.159852171344991	-0.080560860208934	-0.218309095412897	0.418182511461219	0.352893170255565	0.0879667011911639	0.866949739274085
