""	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES
PSTK	-0.0563481661852115	0.0382397023838331	0.110906027437124	0.0532453269414525	0.0693352907252897	0.0579145294965973	-0.0172627932673729	-0.0898069222879555
PSTPIP1	0.104790386664954	-0.134532143243357	-0.143201903478874	-0.175942773966291	-0.168495875137721	-0.00292512461620864	-0.13486844438332	0.184251014590781
PSTPIP2	-0.107215455254957	-0.192168700628775	-0.111277949517228	0.0827500294787303	0.0596007384619587	-0.00477976488840106	-0.115696332289216	-0.0445802992245269
PTAFR	0.0429074386460462	-0.282766962891234	-0.252970245314373	-0.0975623475645346	-0.124980172060331	-0.0416834849740981	-0.194279016211296	0.139362944228843
PTAR1	0.0870069892938635	0.212070563603781	0.0898903300666062	0.00912063457819141	-0.00835048445831721	-0.0497479560007708	0.167796099389457	0.0188257023478157
PTBP1	0.0611970706190499	0.202558560478201	0.0852384577466095	0.00600078296631137	0.00425633951236337	-0.131923454294862	0.146773625992168	-0.0525811550157943
PTBP2	-0.276479321378117	-0.0136531027644351	0.224893151651763	0.348672262499063	0.366463940578425	0.127170012655892	-0.0394988079125937	-0.337508383618201
PTBP3	0.0683143509662396	-0.0822790837800803	-0.113885287277873	-0.0262127565237935	-0.0555943487261717	-0.0334521770174602	-0.0739831292540145	0.0791309900379249
PTCD1	-0.0264955231924853	0.0470078811099804	0.0425351103853684	0.0785663870391316	0.0673294323259574	-0.0327818690370076	0.0553039576323466	-0.0767240119079162
PTCD2	0.0544875725209816	0.108994067941684	0.0386150955248573	-0.0225405952658964	-0.0267729231343914	-0.00691208114132023	0.0857761250504105	0.00732533050813849
PTCD3	-0.0743847459269227	0.136040913570741	0.15021759776769	0.131738022851731	0.130566571924005	0.00275758032765881	0.0914623321067494	-0.153983583243777
PTCH1	-0.212695082427493	0.0861265337166608	0.25302948555331	0.237545272118174	0.259455194338561	0.0702610897485444	-0.0273418496250646	-0.240158545053896
PTCH2	0.0587323969573745	0.102095037727672	0.0232386696450562	0.00811389819236846	0.00409522353760422	0.0147959448062276	0.0465841557687362	0.0155199457245574
PTCHD1	0.0984150449402133	0.129698087258787	0.0268996212719831	-0.03173426338623	-0.0320477320517672	-0.0439733548987265	0.0948927925530485	0.0217659477765764
PTCHD2	-0.181048989473199	-0.0486004127439	0.0077250735535122	0.2874720801715	0.240456255467508	0.0705471766061958	0.0181520026959538	-0.225931665781575
PTCHD3	0.00569131060264529	0.00845386433015491	-0.00455037709347466	-0.00363310746466248	-0.00710966940329161	-0.00608142541607205	0.00632160527803425	0.0077856919988161
