""	PC1	PC2
AGTRAP	-0.00847548493807133	-0.00546834162498877
C1orf167	-0.00304331534217081	0.00620774771821584
MTHFR	-0.00828568693648288	0.00680874207954343
CLCN6	-0.00796273754144758	0.00177354347169879
NPPA	-0.00192998304199622	-0.0016255460756959
NPPB	-0.00128320023758523	-0.00122672682443373
AL021155.5	-0.00815604236999482	0.00264882179382897
KIAA2013	-0.00873967399043733	-0.00208027045133181
PLOD1	-0.00832697996494034	0.0024550588547689
AL096840.2	-0.00412181739261937	0.0165592317577221
MFN2	-0.00875929873109319	-0.00393010898976702
MIIP	-0.00752908637450601	0.000486303790728026
TNFRSF8	-0.00464126143858564	0.0104762250016951
TNFRSF1B	-0.00589939583387237	0.0188474733683203
VPS13D	-0.00825850146579081	0.00435824377807332
LINC02766	-0.000334530741680248	-0.000136877976665252
DHRS3	-0.00310813302447544	0.0142625920304872
AC254633.1	-0.00164194130663899	0.0111432906281849
C1orf158	-0.00253475869751906	0.00653260395474626
PDPN	-0.00846249730872602	-0.00324971049749487
PRDM2	-0.00881646239069267	0.000453333254927782
KAZN	-0.00825101623568791	0.0030966282676912
AL357873.1	-0.0014692021708587	-0.00469278099210491
KAZN-AS1	-0.000926502308760699	-0.0023427746171868
AL031293.1	-0.00611378067548981	0.00120044476421445
TMEM51-AS1	-0.00628809056006493	0.00408825134767706
TMEM51	-0.00827557022351454	-0.00288547232519606
C1orf195	-0.00040448649626412	0.000516942043868439
FHAD1	-0.00461551039316624	0.00676225510623789
AL031283.2	-0.00368864934351908	0.0109034973431172
AL031283.1	-0.00339101041287645	0.000632909999691499
EFHD2	-0.00704523273080728	0.00584898425394563
CTRC	-0.000525072503227464	0.002845330330313
CELA2A	-0.000335193381850345	-0.0028203346080235
CASP9	-0.00355132443331961	0.00350944103307008
DNAJC16	-0.00854251803633765	-0.000582817435709871
AL121992.3	-0.00146957554301322	-0.00298983497933104
AGMAT	-0.00475986653303486	-0.00551768394987719
AL121992.1	-0.0064019109673601	-0.000803449503031905
DDI2	-0.00864238735473703	0.00292928531329913
AL121992.2	0.0015439747740773	-0.00134720572095224
PLEKHM2	-0.00884842942984173	0.00107641375652696
AL450998.3	-0.00241034783328848	0.000674466683904815
SLC25A34	-0.00507480808417524	0.00617734107180706
FBLIM1	-0.00665756428770976	0.00656588718791954
UQCRHL	-0.00757159418397925	-0.0012708056903375
AL450998.2	-0.00841883004176945	0.000505569412259725
SPEN	-0.00895196898749133	0.000351935764971296
ZBTB17	-0.00856147713014528	-0.00270807264412568
SRARP	-0.00308589675610018	0.0208248236190843
HSPB7	-0.00291354971845376	0.00749179537713914
CLCNKA	0.000871360336924182	0.00304019403469673
CLCNKB	0.000887771353654389	0.00255336180976629
FAM131C	-0.00408088436815709	0.000979778570200929
EPHA2	-0.00593901341577564	0.0158952295502725
AL451042.2	-0.000644274004186729	0.00766217182413189
AL451042.1	0.000305933264655302	0.00307042902552745
ARHGEF19	-0.00419487653395597	0.0132940561104913
AL109627.1	-0.00380744317340296	0.00116125984511309
CPLANE2	-0.00350382760071566	-0.00858421420770535
FBXO42	-0.00863009355499475	0.00113877102357137
SZRD1	-0.00881381700083847	-0.00499502590906695
SPATA21	-0.00585159778284433	-0.00707964241714187
NECAP2	-0.00887237175716662	0.000291619002206809
LINC01772	-0.00349132631692715	0.00134713088327012
AL137802.2	-0.0052167883560708	-0.00250255008161078
AL137802.1	-0.00385491741648717	0.0108153936437215
LINC01783	-0.00572804763428504	0.00516285487497989
NBPF1	-0.00890105684498158	-0.00324791528660775
AL137798.1	-0.000344109280698088	-0.00465392072765316
AL021920.3	-0.000167754383880579	-0.00226422836343852
CROCC	-0.00578171462143366	0.00613307778285642
BX284668.2	-0.00606593915227273	-0.0055827055414139
BX284668.5	-0.00737462049772823	0.0111184886856263
BX284668.6	-0.0060960993655589	-0.00215499891445308
MFAP2	-0.005042217208451	0.0148550768674153
ATP13A2	-0.00869639255135179	-0.0030089763258177
SDHB	-0.00876986848321088	-0.004399174429336
PADI2	-0.0063867096760847	0.017364264412724
AL590644.1	-0.00364287138130037	0.0189420075488608
PADI1	-0.00344368444215331	0.0181436828599085
PADI4	0.001058134085049	0.00156871294488406
PADI6	1.60063821323923e-05	0.000980235213134275
RCC2	-0.00884920929439428	-0.00198579386338455
ARHGEF10L	-0.00413171178435224	0.00860457317455495
AL357509.1	0.000316673582674861	0.00139099952599789
IGSF21	-0.00519790122781011	0.0141599703538549
AL591896.1	-0.00334225247026001	0.0179051004297608
KLHDC7A	0.00142501246251795	0.00250215316182657
ALDH4A1	-0.00670150631401355	0.00326544661397596
IFFO2	-0.00683292809436769	0.00513088361744765
AL137127.1	-0.00222538161761584	-0.00601317652364287
